RMSE Adam MAP|5|0.01|0.1|0.1 : 10.733 \pm 0.230
RMSE Adagrad MAP|10|0.01 : 10.729 \pm 0.212
RMSE RMSprop MAP|5|0.01|0.5 : 10.717 \pm 0.222
RMSE Adam MAP|1|0.05|0.9|0.9 : 10.717 \pm 0.207
RMSE Adam MAP|1|0.05|0.5|0.5 : 10.717 \pm 0.207
RMSE Adam MAP|1|0.05|0.1|0.1 : 10.717 \pm 0.207
RMSE Adagrad MAP|1|0.05 : 10.717 \pm 0.207
RMSE RMSprop MAP|1|0.05|0.9 : 10.717 \pm 0.207
RMSE RMSprop MAP|1|0.05|0.5 : 10.717 \pm 0.207
RMSE RMSprop MAP|1|0.05|0.1 : 10.717 \pm 0.207
RMSE Adam MAP|5|0.01|0.5|0.5 : 10.715 \pm 0.239
RMSE Adagrad MAP|25|1.0 : 10.648 \pm 0.615
RMSE RMSprop MAP|50|0.05|0.1 : 10.648 \pm 0.393
RMSE Adam MAP|100|0.05|0.9|0.9 : 10.623 \pm 0.749
RMSE Adam MAP|5|0.5|0.1|0.1 : 10.620 \pm 0.401
RMSE RMSprop MAP|25|0.05|0.9 : 10.591 \pm 0.298
RMSE Adam MAP|5|0.01|0.9|0.9 : 10.579 \pm 0.247
RMSE RMSprop MAP|1|0.1|0.1 : 10.511 \pm 0.263
RMSE Adagrad MAP|1|0.1 : 10.511 \pm 0.263
RMSE RMSprop MAP|1|0.1|0.9 : 10.511 \pm 0.263
RMSE RMSprop MAP|1|0.1|0.5 : 10.511 \pm 0.263
RMSE Adam MAP|1|0.1|0.1|0.1 : 10.510 \pm 0.263
RMSE Adam MAP|1|0.1|0.5|0.5 : 10.510 \pm 0.263
RMSE Adam MAP|1|0.1|0.9|0.9 : 10.510 \pm 0.263
RMSE Adagrad MAP|25|0.01 : 10.494 \pm 0.238
RMSE RMSprop MAP|10|0.01|0.1 : 10.488 \pm 0.257
RMSE RMSprop MAP|3|0.5|0.5 : 10.482 \pm 0.320
RMSE Adam MAP|25|0.1|0.1|0.1 : 10.478 \pm 0.409
RMSE RMSprop MAP|100|1.0|0.9 : 10.471 \pm 0.762
RMSE Adam MAP|50|0.05|0.1|0.1 : 10.456 \pm 0.408
RMSE RMSprop MAP|10|0.01|0.9 : 10.440 \pm 0.259
RMSE RMSprop MAP|10|0.01|0.5 : 10.425 \pm 0.254
RMSE Adam MAP|10|0.01|0.1|0.1 : 10.396 \pm 0.252
RMSE RMSprop MAP|10|0.1|0.9 : 10.386 \pm 0.324
RMSE GD MAP|3|0.01 : 10.380 \pm 0.170
RMSE Adam MAP|3|0.5|0.9|0.9 : 10.379 \pm 0.386
RMSE Adam MAP|50|0.5|0.5|0.5 : 10.369 \pm 0.828
RMSE Adam MAP|10|0.1|0.9|0.9 : 10.366 \pm 0.380
RMSE Adam MAP|10|0.01|0.5|0.5 : 10.325 \pm 0.234
RMSE Adam MAP|100|0.01|0.9|0.9 : 10.311 \pm 0.424
